id_entidad,nombre_entidad,direccion,telefono,address_department
PE-CONSUCODE-2440,SERVICIO INDUSTRIAL DE LA MARINA S.R.L.-IQUITOS,AV. LA MARINA N°1079 - PUNCHANA,,LORETO
PE-CONSUCODE-265,MUNICIPALIDAD DISTRITAL DE MARCA,JR.SALAVERRY 396,,ANCASH
PE-CONSUCODE-268,MUNICIPALIDAD DISTRITAL DE TAPACOCHA,PLAZA DE ARMAS,0,ANCASH
PE-CONSUCODE-295,MUNICIPALIDAD DISTRITAL DE SHUPLUY,PLAZA DE ARMAS S/N,,ANCASH
PE-CONSUCODE-336,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CACHI,PLAZA DE ARMAS SN FRENTE A LA PLAZA SAN ANTONIO DE CACHI,83830024,APURIMAC
PE-CONSUCODE-338,MUNICIPALIDAD DISTRITAL DE SANTA MARIA DE CHICMO,AV.GARCILAZO DE LA VEGA No 162,721520,APURIMAC
PE-CONSUCODE-378,MUNICIPALIDAD DISTRITAL DE HUAYLLATI,PLAZA DE ARMAS,,APURIMAC
PE-CONSUCODE-201545,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE UTCUBAMBA,CALLE SAN MARTIN N 113,954534084,AMAZONAS
PE-CONSUCODE-438,MUNICIPALIDAD DISTRITAL DE BELLA UNION,AV. MIGUEL GRAU S/N,0,AREQUIPA
PE-CONSUCODE-465,MUNICIPALIDAD DISTRITAL DE CAYLLOMA,PLAZA ZELA NO 202,0,AREQUIPA
PE-CONSUCODE-470,MUNICIPALIDAD DISTRITAL DE LARI,PLAZA PRINCIPAL N§ 400,,AREQUIPA
PE-CONSUCODE-473,MUNICIPALIDAD DISTRITAL DE MADRIGAL,PLAZA PRINCIPAL,0,AREQUIPA
PE-CONSUCODE-201725,UNIDAD EJECUTORA 009 LA LIBERTAD,INDEPENDENCIA 572,044248744,LA LIBERTAD
PE-CONSUCODE-515,MUNICIPALIDAD DISTRITAL DE SOCOS,PLAZA PRINCIPAL S/N - SOCOS,,AYACUCHO
PE-CONSUCODE-201825,MUNICIPALIDAD DISTRITAL JOSE MARIA ARGUEDAS,PLAZA HUANCABAMBA FRENTE A PLAZA DE ARMAS,983673600,APURIMAC
PE-CONSUCODE-643,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,JR. MIGUEL GRAU Nº212,,CAJAMARCA
PE-CONSUCODE-653,MUNICIPALIDAD DISTRITAL DE CUJILLO,CALLE CUTERVO S/N,,CAJAMARCA
PE-CONSUCODE-729,MUNICIPALIDAD DISTRITAL DE NINABAMBA,BURGA LARREA S/N,,CAJAMARCA
PE-CONSUCODE-75,MUNICIPALIDAD DISTRITAL DE JALCA GRANDE,JR.NICOLAS DE ARRIOLA 563,,AMAZONAS
PE-CONSUCODE-770,MUNICIPALIDAD DISTRITAL DE ZURITE,PLAZA DE ARMAS 2DO PISO INT.5,,CUSCO
